company,title,location,job_url,site
Blackhawk Network,Inside Sales Representative,"Hemel Hempstead, ENG, GB",https://uk.indeed.com/viewjob?jk=1b710454ca3185f1,indeed
LexisNexis Risk Solutions,Marketing Development Representative (German Speaking),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=69c6198547a4569b,indeed
Nationwide Building Society,Customer Representative - Maidstone,"Maidstone, ENG, GB",https://uk.indeed.com/viewjob?jk=b6817cc839d3d790,indeed
St Giles Eastbourne,Sales Representative for Turkey & MENA,"Brighton, ENG, GB",https://uk.indeed.com/viewjob?jk=d744c60242e6597b,indeed
SugarCRM,Account Executive – UK & Ireland,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=f53e4a6f2967ed01,indeed
PEI Group,Business Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=6fb5a6ce731e748c,indeed
AlphaSense,Sales Development Representative (French or German Speaking),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=f26e0f77caebcc27,indeed
AlphaSense,Sales Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=a9be091cf253fd54,indeed
Flourish,Sales Development Representative (HF1315832),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=cdfd65d329ff1000,indeed
Howdens,Business Developer,"Worthing, ENG, GB",https://uk.indeed.com/viewjob?jk=ff0aac1d676a5598,indeed
PEI Group,Business Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=d5c75c263079b3bc,indeed
Contentful,Mid Market Business Development Representative (f/m/d),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=269b3dc2f9f2aa76,indeed
Lightspeed,Account Executive,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=8a1327e9f9c42d10,indeed
QA,Sales Development Representative (SDR),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=f86131c96f2fbd2b,indeed
QA,Sales Development Representative (SDR),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=8a7b41005f6f9e35,indeed
This Is Prime,Graduate Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4366856852,linkedin
Port.io,"Sales Development Representative, EMEA","London, England, UK",https://www.linkedin.com/jobs/view/4362510442,linkedin
Apprentify,Sales Development Representative (HF1315632),"London, England, UK",https://www.linkedin.com/jobs/view/4367554993,linkedin
Prime,Business Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367567605,linkedin
Cresta,"Sales Development Representative, London","London, England, UK",https://www.linkedin.com/jobs/view/4359791952,linkedin
Varonis,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4297615042,linkedin
BettingJobs,Sales Development Representative,"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4356519907,linkedin
Thomson Reuters,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367231561,linkedin
Profectus Recruitment,Sales Development Representative,"Reading, England, UK",https://www.linkedin.com/jobs/view/4367261273,linkedin
Cisco,"Sales Development Representative – EMEA Field Team, London","London, England, UK",https://www.linkedin.com/jobs/view/4339257230,linkedin
EngageTech,Italian Speaking Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367258358,linkedin
Penfold,Sales Development Representative – Partnerships,"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4367484748,linkedin
Flourish,Sales Development Representative (HF1315832),"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4367475795,linkedin
AlphaSense,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367458977,linkedin
ByteDance,"Sales Development Representative (AI), BytePlus","London, England, UK",https://www.linkedin.com/jobs/view/4366596563,linkedin
S&P Global,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367014306,linkedin
Heidi,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4366962335,linkedin
FiscalNote,"Sales Development Representative, FrontierView","London, England, UK",https://www.linkedin.com/jobs/view/4367318422,linkedin
Xelix,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4367131642,linkedin
Nuvei,Sales Development Representative,"London, England, UK",https://www.linkedin.com/jobs/view/4366439230,linkedin
